product_id,product_code,product_name,product_group,subgroup,product_tier,customer_type,target_need,base_propensity,active_flag
PR020,FD_SAV_PARTIAL,Tiết kiệm rút gốc từng phần,FD,SAVINGS,PARTIAL_WD,IND,Khách cần linh hoạt sử dụng một phần tiền trước đáo hạn,0.2,True
PR021,FD_SAV_UPFRONT,Tiết kiệm trả lãi ngay,FD,SAVINGS,UPFRONT_INT,IND,Khách muốn nhận lãi sớm và giữ gốc đến đáo hạn,0.18,True
PR022,FD_SAV_PERIODIC,Tiền gửi trả lãi định kỳ,FD,SAVINGS,PERIODIC_INT,IND,Khách cá nhân / tổ chức cần dòng tiền lãi định kỳ,0.18,True
PR023,FD_SAV_KIDS,Tiết kiệm Măng non,FD,SAVINGS,KIDS,IND,Cha mẹ / người giám hộ muốn tích luỹ dài hạn cho con,0.15,True
PR024,FD_CD,Chứng chỉ tiền gửi,FD,CERTIFICATE,,IND,"Khách có tiền nhàn rỗi, ưu tiên đầu tư tiền gửi kỳ hạn dài",0.16,True
PR025,LEND_UNSECURED_PAYROLL,Vay tín chấp theo lương / phân khúc,LENDING,UNSECURED,,IND,Khách cá nhân có thu nhập ổn định / nhận lương hoặc thuộc phân khúc đủ điều kiện,0.3,True
PR026,LEND_OVERDRAFT_PERSONAL,Thấu chi cá nhân (M-Payroll / M-First),LENDING,OVERDRAFT,,IND,"Khách cá nhân có thu nhập ổn định, cần nguồn tiền dự phòng ngắn hạn",0.25,True
PR027,LEND_CONSUMER,Vay tiêu dùng,LENDING,CONSUMER,,IND,Khách cá nhân có nhu cầu chi tiêu / mua sắm / kế hoạch cá nhân,0.22,True
PR028,LEND_HOME_SECURED,Vay mua bất động sản có sổ,LENDING,MORTGAGE,,IND,"Khách có nhu cầu mua nhà, đất hoặc bất động sản",0.2,True
PR029,LEND_HOME_PROJECT,Vay mua nhà dự án,LENDING,MORTGAGE,PROJECT,IND,Khách mua nhà / căn hộ tại dự án đủ điều kiện MSB,0.16,True
PR030,LEND_HOME_RENOVATE,Vay xây sửa / hoàn thiện nhà,LENDING,MORTGAGE,RENOVATE,IND,"Khách có nhu cầu xây, sửa hoặc hoàn thiện nhà ở",0.14,True
PR031,LEND_AUTO_NEW,Vay mua ô tô mới,LENDING,AUTO,NEW,IND,Khách cá nhân có nhu cầu mua xe phục vụ đi lại / gia đình,0.18,True
PR032,LEND_SECURITIES_PLEDGE,Vay ứng vốn cầm cố giấy tờ có giá,LENDING,PLEDGE,,IND,Khách có sổ tiết kiệm / GTCG cần thanh khoản ngắn hạn,0.15,True
PR033,LEND_BIZ_WC,Cho vay bổ sung vốn kinh doanh,LENDING,BIZ,WORKING_CAPITAL,SME,Hộ kinh doanh / cá nhân kinh doanh cần vốn lưu động hoặc mở rộng hoạt động,0.28,True
PR034,LEND_AGRI,Vay sản xuất kinh doanh nông nghiệp,LENDING,BIZ,AGRI,SME,Hộ kinh doanh / cá nhân sản xuất nông nghiệp cần vốn lưu động hoặc đầu tư,0.2,True
PR035,LEND_OVERDRAFT_BIZ,Thấu chi kinh doanh / chuỗi cung ứng,LENDING,OVERDRAFT,BIZ,SME,"Doanh nghiệp, hộ kinh doanh hoặc nhà phân phối cần vốn lưu động ngắn hạn",0.18,True
