recommendation_id,customer_id,score_id,recommended_product_id,recommended_action,recommended_channel,recommended_timing,message_angle,expected_conversion,priority,suppression_flag,recommendation_timestamp,status,priority_rank
REC000000074,CUS00000025,SC000000098,P004,RM_ASSISTED_MESSAGE,RM_CALL,Trong 2 tuần tới,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.4038,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,2
REC000000075,CUS00000025,SC000000099,P007,RM_ASSISTED_MESSAGE,RM_CALL,Nurture 30 ngày,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.3305,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,3
REC000000076,CUS00000026,SC000000102,P004,NURTURE,EMAIL,Trong tuần này,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.5958,Low,False,2026-08-31 18:00:00,NEW,1
REC000000077,CUS00000026,SC000000101,P001,NURTURE,EMAIL,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.4296,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000078,CUS00000026,SC000000104,P009,NURTURE,EMAIL,Nurture 30 ngày,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.4251,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000079,CUS00000027,SC000000105,P001,NURTURE,EMAIL,Trong tuần này,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.3119,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000080,CUS00000027,SC000000107,P007,NURTURE,EMAIL,Trong 2 tuần tới,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.2192,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000081,CUS00000027,SC000000106,P004,NURTURE,EMAIL,Nurture 30 ngày,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.214,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000082,CUS00000028,SC000000111,P007,RM_CALL,RM_CALL,Trong tuần này,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.4087,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,1
REC000000083,CUS00000028,SC000000112,P009,RM_ASSISTED_MESSAGE,RM_CALL,Trong 2 tuần tới,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.3833,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,2
REC000000084,CUS00000028,SC000000109,P001,RM_ASSISTED_MESSAGE,RM_CALL,Nurture 30 ngày,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.3396,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,3
REC000000085,CUS00000029,SC000000113,P001,NURTURE,EMAIL,Trong tuần này,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.4131,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000086,CUS00000029,SC000000114,P004,NURTURE,EMAIL,Trong 2 tuần tới,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.3576,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000087,CUS00000029,SC000000115,P007,NURTURE,EMAIL,Nurture 30 ngày,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.2504,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000088,CUS00000030,SC000000118,P004,RM_CALL,RM_CALL,Trong tuần này,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.4633,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,1
REC000000089,CUS00000030,SC000000117,P001,RM_ASSISTED_MESSAGE,RM_CALL,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.3519,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,2
REC000000090,CUS00000030,SC000000119,P007,RM_ASSISTED_MESSAGE,RM_CALL,Nurture 30 ngày,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.374,Do not prioritize,False,2026-08-31 18:00:00,RM_APPROVAL,3
REC000000091,CUS00000031,SC000000124,P009,NURTURE,EMAIL,Trong tuần này,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.7356,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000092,CUS00000031,SC000000122,P004,NURTURE,EMAIL,Trong 2 tuần tới,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.4661,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000093,CUS00000031,SC000000123,P007,NURTURE,EMAIL,Nurture 30 ngày,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.3478,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000094,CUS00000032,SC000000126,P004,NO_CONTACT,NONE,Trong tuần này,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.5632,Low,True,2026-08-31 18:00:00,BLOCKED,1
REC000000095,CUS00000032,SC000000125,P001,NO_CONTACT,NONE,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.4305,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,2
REC000000096,CUS00000032,SC000000127,P007,NO_CONTACT,NONE,Nurture 30 ngày,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.3579,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,3
REC000000097,CUS00000033,SC000000129,P001,NURTURE,EMAIL,Trong tuần này,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.319,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000098,CUS00000033,SC000000131,P007,NURTURE,EMAIL,Trong 2 tuần tới,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.3111,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000099,CUS00000033,SC000000130,P004,NURTURE,EMAIL,Nurture 30 ngày,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.3075,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000100,CUS00000034,SC000000134,P004,NO_CONTACT,NONE,Trong tuần này,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.2995,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,1
REC000000101,CUS00000034,SC000000133,P001,NO_CONTACT,NONE,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.2091,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,2
REC000000102,CUS00000034,SC000000135,P007,NO_CONTACT,NONE,Nurture 30 ngày,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.1661,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,3
REC000000103,CUS00000035,SC000000138,P004,NO_CONTACT,NONE,Trong tuần này,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.2282,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,1
REC000000104,CUS00000035,SC000000137,P001,NO_CONTACT,NONE,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.1595,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,2
REC000000105,CUS00000035,SC000000139,P007,NO_CONTACT,NONE,Nurture 30 ngày,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.1911,Do not prioritize,True,2026-08-31 18:00:00,BLOCKED,3
REC000000106,CUS00000036,SC000000142,P004,NURTURE,EMAIL,Trong tuần này,"Lãi suất cố định ưu đãi, duyệt nhanh, giải ngân trong ngày.",0.3992,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000107,CUS00000036,SC000000141,P001,NURTURE,EMAIL,Trong 2 tuần tới,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.3015,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
REC000000108,CUS00000036,SC000000144,P009,NURTURE,EMAIL,Nurture 30 ngày,"Danh mục đầu tư cân bằng, miễn phí phí quản lý 6 tháng đầu.",0.3425,Do not prioritize,False,2026-08-31 18:00:00,NEW,3
REC000000109,CUS00000037,SC000000145,P001,NURTURE,EMAIL,Trong tuần này,"Cashback + ưu đãi du lịch, phù hợp mức chi tiêu cao và thu nhập ổn định.",0.346,Do not prioritize,False,2026-08-31 18:00:00,NEW,1
REC000000110,CUS00000037,SC000000147,P007,NURTURE,EMAIL,Trong 2 tuần tới,"Cộng thêm lãi suất khi gửi online, tối ưu dòng tiền nhàn rỗi sắp đáo hạn.",0.1884,Do not prioritize,False,2026-08-31 18:00:00,NEW,2
